Pokemon,Type,Species,Height,Weight,Abilities,EV Yield,Catch Rate,Base Friendship,Base Exp,Growth Rate,Egg Groups,Gender,Egg Cycles,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max,Sprite
Spoink,Psychic,Bounce Pokémon,0.7 m (2′04″),30.6 kg (67.5 lbs),"1. Thick Fat, 2. Own Tempo, Gluttony (hidden ability)",1 Sp. Def,"255 (33.3% with PokéBall, full HP)",50 (normal),66,Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,25,49,163,35,67,185,70,130,262,80,148,284,60,112,240,Spoink.png
Sprigatito,Grass,Grass Cat Pokémon,0.4 m (1′04″),4.1 kg (9.0 lbs),"1. Overgrow, Protean (hidden ability)",1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"Field, Grass","87.5% male, 12.5% female","20 (4,884–5,140 steps)",40,190,284,61,114,243,54,101,227,45,85,207,45,85,207,65,121,251,Sprigatito.png
Spritzee,Fairy,Perfume Pokémon,0.2 m (0′08″),0.5 kg (1.1 lbs),"1. Healer, Aroma Veil (hidden ability)",1 HP,"200 (26.1% with PokéBall, full HP)",50 (normal),68,Medium Fast,Fairy,"50% male, 50% female","20 (4,884–5,140 steps)",78,266,360,52,98,223,60,112,240,63,117,247,65,121,251,23,45,159,Spritzee.png
Squawkabilly Green Plumage,"Normal, Flying",Parrot Pokémon,0.6 m (2′00″),2.4 kg (5.3 lbs),"1. Intimidate, 2. Hustle, Guts (hidden ability)",1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),146,Erratic,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",82,274,368,96,177,320,51,96,221,45,85,207,51,96,221,92,170,311,Squawkabilly (Green Plumage).png
Squawkabilly Blue Plumage,"Normal, Flying",Parrot Pokémon,0.6 m (2′00″),2.4 kg (5.3 lbs),"1. Intimidate, 2. Hustle, Guts (hidden ability)",1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),146,Erratic,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",82,274,368,96,177,320,51,96,221,45,85,207,51,96,221,92,170,311,Squawkabilly (Blue Plumage).png
Squawkabilly Yellow Plumage,"Normal, Flying",Parrot Pokémon,0.6 m (2′00″),2.4 kg (5.3 lbs),"1. Intimidate, 2. Hustle, Sheer Force (hidden ability)",1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),146,Erratic,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",82,274,368,96,177,320,51,96,221,45,85,207,51,96,221,92,170,311,Squawkabilly (Yellow Plumage).png
Squawkabilly White Plumage,"Normal, Flying",Parrot Pokémon,0.6 m (2′00″),2.4 kg (5.3 lbs),"1. Intimidate, 2. Hustle, Sheer Force (hidden ability)",1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),146,Erratic,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",82,274,368,96,177,320,51,96,221,45,85,207,51,96,221,92,170,311,Squawkabilly (White Plumage).png
Squirtle,Water,Tiny Turtle Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),"1. Torrent, Rain Dish (hidden ability)",1 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),63,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",44,198,292,48,90,214,65,121,251,50,94,218,64,119,249,43,81,203,Squirtle.png
Stakataka,"Rock, Steel",Rampart Pokémon,5.5 m (18′01″),820.0 kg (1807.8 lbs),1. Beast Boost,3 Defense,"30 (3.9% with PokéBall, full HP)",0 (lower than normal),257,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",61,232,326,131,240,397,211,384,573,53,99,225,101,186,331,13,27,137,Stakataka.png
Stantler,Normal,Big Horn Pokémon,1.4 m (4′07″),71.2 kg (157.0 lbs),"1. Intimidate, 2. Frisk, Sap Sipper (hidden ability)",1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),163,Slow,Field,"50% male, 50% female","20 (4,884–5,140 steps)",73,256,350,95,175,317,62,116,245,85,157,295,65,121,251,85,157,295,Stantler.png
Staraptor,"Normal, Flying",Predator Pokémon,1.2 m (3′11″),24.9 kg (54.9 lbs),"1. Intimidate, Reckless (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),243,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",85,280,374,120,220,372,70,130,262,50,94,218,60,112,240,100,184,328,Staraptor.png
Staravia,"Normal, Flying",Starling Pokémon,0.6 m (2′00″),15.5 kg (34.2 lbs),"1. Intimidate, Reckless (hidden ability)",2 Speed,"120 (15.7% with PokéBall, full HP)",50 (normal),119,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",55,220,314,75,139,273,50,94,218,40,76,196,40,76,196,80,148,284,Staravia.png
Starly,"Normal, Flying",Starling Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs),"1. Keen Eye, Reckless (hidden ability)",1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),49,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",40,190,284,55,103,229,30,58,174,30,58,174,30,58,174,60,112,240,Starly.png
Starmie,"Water, Psychic",Mysterious Pokémon,1.1 m (3′07″),80.0 kg (176.4 lbs),"1. Illuminate, 2. Natural Cure, Analytic (hidden ability)",2 Speed,"60 (7.8% with PokéBall, full HP)",50 (normal),182,Slow,Water 3,Genderless,"20 (4,884–5,140 steps)",60,230,324,75,139,273,85,157,295,100,184,328,85,157,295,115,211,361,Starmie.png
Staryu,Water,Star Shape Pokémon,0.8 m (2′07″),34.5 kg (76.1 lbs),"1. Illuminate, 2. Natural Cure, Analytic (hidden ability)",1 Speed,"225 (29.4% with PokéBall, full HP)",50 (normal),68,Slow,Water 3,Genderless,"20 (4,884–5,140 steps)",30,170,264,45,85,207,55,103,229,70,130,262,55,103,229,85,157,295,Staryu.png
Steelix,"Steel, Ground",Iron Snake Pokémon,9.2 m (30′02″),400.0 kg (881.8 lbs),"1. Rock Head, 2. Sturdy, Sheer Force (hidden ability)",2 Defense,"25 (3.3% with PokéBall, full HP)",50 (normal),179,Medium Fast,Mineral,"50% male, 50% female","25 (6,169–6,425 steps)",75,260,354,85,157,295,200,364,548,55,103,229,65,121,251,30,58,174,Steelix.png
Mega Steelix,"Steel, Ground",Iron Snake Pokémon,10.5 m (34′05″),740.0 kg (1631.4 lbs),1. Sand Force,2 Defense,"25 (3.3% with PokéBall, full HP)",50 (normal),214,Medium Fast,Mineral,"50% male, 50% female","25 (6,169–6,425 steps)",75,260,354,125,229,383,230,418,614,55,103,229,95,175,317,30,58,174,Mega Steelix.png
Steenee,Grass,Fruit Pokémon,0.7 m (2′04″),8.2 kg (18.1 lbs),"1. Leaf Guard, 2. Oblivious, Sweet Veil (hidden ability)",2 Speed,"120 (15.7% with PokéBall, full HP)",50 (normal),102,Medium Slow,Grass,"0% male, 100% female","20 (4,884–5,140 steps)",52,214,308,40,76,196,48,90,214,40,76,196,48,90,214,62,116,245,Steenee.png
Stonjourner,Rock,Big Rock Pokémon,2.5 m (8′02″),520.0 kg (1146.4 lbs),1. Power Spot,2 Defense,"60 (7.8% with PokéBall, full HP)",50 (normal),165,Slow,Mineral,"50% male, 50% female","25 (6,169–6,425 steps)",100,310,404,125,229,383,135,247,405,20,40,152,20,40,152,70,130,262,Stonjourner.png
Stoutland,Normal,Big-Hearted Pokémon,1.2 m (3′11″),61.0 kg (134.5 lbs),"1. Intimidate, 2. Sand Rush, Scrappy (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),225,Medium Slow,Field,"50% male, 50% female","15 (3,599–3,855 steps)",85,280,374,110,202,350,90,166,306,45,85,207,90,166,306,80,148,284,Stoutland.png
Stufful,"Normal, Fighting",Flailing Pokémon,0.5 m (1′08″),6.8 kg (15.0 lbs),"1. Fluffy, 2. Klutz, Cute Charm (hidden ability)",1 Attack,"140 (18.3% with PokéBall, full HP)",50 (normal),68,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",70,250,344,75,139,273,50,94,218,45,85,207,50,94,218,50,94,218,Stufful.png
Stunfisk,"Ground, Electric",Trap Pokémon,0.7 m (2′04″),11.0 kg (24.3 lbs),"1. Static, 2. Limber, Sand Veil (hidden ability)",2 HP,"75 (9.8% with PokéBall, full HP)",70 (higher than normal),165,Medium Fast,"Amorphous, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",109,328,422,66,123,254,84,155,293,81,150,287,99,182,326,32,62,179,Stunfisk.png
Galarian Stunfisk,"Ground, Steel",Trap Pokémon,0.7 m (2′04″),20.5 kg (45.2 lbs),1. Mimicry,2 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),165,Medium Fast,"Amorphous, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",109,328,422,81,150,287,99,182,326,66,123,254,84,155,293,32,62,179,Galarian Stunfisk.png
Stunky,"Poison, Dark",Skunk Pokémon,0.4 m (1′04″),19.2 kg (42.3 lbs),"1. Stench, 2. Aftermath, Keen Eye (hidden ability)",1 Speed,"225 (29.4% with PokéBall, full HP)",50 (normal),66,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",63,236,330,63,117,247,47,89,212,41,78,199,41,78,199,74,137,271,Stunky.png
Sudowoodo,Rock,Imitation Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs),"1. Sturdy, 2. Rock Head, Rattled (hidden ability)",2 Defense,"65 (8.5% with PokéBall, full HP)",50 (normal),144,Medium Fast,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,100,184,328,115,211,361,30,58,174,65,121,251,30,58,174,Sudowoodo.png
Suicune,Water,Aurora Pokémon,2.0 m (6′07″),187.0 kg (412.3 lbs),"1. Pressure, Inner Focus (hidden ability)","1 Defense, 2 Sp. Def","3 (0.4% with PokéBall, full HP)",35 (lower than normal),261,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)",100,310,404,75,139,273,115,211,361,90,166,306,115,211,361,85,157,295,Suicune.png
Sunflora,Grass,Sun Pokémon,0.8 m (2′07″),8.5 kg (18.7 lbs),"1. Chlorophyll, 2. Solar Power, Early Bird (hidden ability)",2 Sp. Atk,"120 (15.7% with PokéBall, full HP)",50 (normal),149,Medium Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,75,139,273,55,103,229,105,193,339,85,157,295,30,58,174,Sunflora.png
Sunkern,Grass,Seed Pokémon,0.3 m (1′00″),1.8 kg (4.0 lbs),"1. Chlorophyll, 2. Solar Power, Early Bird (hidden ability)",1 Sp. Atk,"235 (30.7% with PokéBall, full HP)",50 (normal),36,Medium Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",30,170,264,30,58,174,30,58,174,30,58,174,30,58,174,30,58,174,Sunkern.png
Surskit,"Bug, Water",Pond Skater Pokémon,0.5 m (1′08″),1.7 kg (3.7 lbs),"1. Swift Swim, Rain Dish (hidden ability)",1 Speed,"200 (26.1% with PokéBall, full HP)",50 (normal),54,Medium Fast,"Bug, Water 1","50% male, 50% female","15 (3,599–3,855 steps)",40,190,284,30,58,174,32,62,179,50,94,218,52,98,223,65,121,251,Surskit.png
Swablu,"Normal, Flying",Cotton Bird Pokémon,0.4 m (1′04″),1.2 kg (2.6 lbs),"1. Natural Cure, Cloud Nine (hidden ability)",1 Sp. Def,"255 (33.3% with PokéBall, full HP)",50 (normal),62,Erratic,"Dragon, Flying","50% male, 50% female","20 (4,884–5,140 steps)",45,200,294,40,76,196,60,112,240,40,76,196,75,139,273,50,94,218,Swablu.png
Swadloon,"Bug, Grass",Leaf-Wrapped Pokémon,0.5 m (1′08″),7.3 kg (16.1 lbs),"1. Leaf Guard, 2. Chlorophyll, Overcoat (hidden ability)",2 Defense,"120 (15.7% with PokéBall, full HP)",50 (normal),133,Medium Slow,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",55,220,314,63,117,247,90,166,306,50,94,218,80,148,284,42,80,201,Swadloon.png
Swalot,Poison,Poison Bag Pokémon,1.7 m (5′07″),80.0 kg (176.4 lbs),"1. Liquid Ooze, 2. Sticky Hold, Gluttony (hidden ability)",2 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),163,Fluctuating,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",100,310,404,73,135,269,83,153,291,73,135,269,83,153,291,55,103,229,Swalot.png
Swampert,"Water, Ground",Mud Fish Pokémon,1.5 m (4′11″),81.9 kg (180.6 lbs),"1. Torrent, Damp (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),241,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",100,310,404,110,202,350,90,166,306,85,157,295,90,166,306,60,112,240,Swampert.png
Mega Swampert,"Water, Ground",Mud Fish Pokémon,1.9 m (6′03″),102.0 kg (224.9 lbs),1. Swift Swim,3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),286,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",100,310,404,150,274,438,110,202,350,95,175,317,110,202,350,70,130,262,Mega Swampert.png
Swanna,"Water, Flying",White Bird Pokémon,1.3 m (4′03″),24.2 kg (53.4 lbs),"1. Keen Eye, 2. Big Pecks, Hydration (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),166,Medium Fast,"Flying, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,87,161,300,63,117,247,87,161,300,63,117,247,98,180,324,Swanna.png
Swellow,"Normal, Flying",Swallow Pokémon,0.7 m (2′04″),19.8 kg (43.7 lbs),"1. Guts, Scrappy (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),159,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",60,230,324,85,157,295,60,112,240,75,139,273,50,94,218,125,229,383,Swellow.png
Swinub,"Ice, Ground",Pig Pokémon,0.4 m (1′04″),6.5 kg (14.3 lbs),"1. Oblivious, 2. Snow Cloak, Thick Fat (hidden ability)",1 Attack,"225 (29.4% with PokéBall, full HP)",50 (normal),50,Slow,Field,"50% male, 50% female","20 (4,884–5,140 steps)",50,210,304,50,94,218,40,76,196,30,58,174,30,58,174,50,94,218,Swinub.png
Swirlix,Fairy,Cotton Candy Pokémon,0.4 m (1′04″),3.5 kg (7.7 lbs),"1. Sweet Veil, Unburden (hidden ability)",1 Defense,"200 (26.1% with PokéBall, full HP)",50 (normal),68,Medium Fast,Fairy,"50% male, 50% female","20 (4,884–5,140 steps)",62,234,328,48,90,214,66,123,254,59,110,238,57,107,234,49,92,216,Swirlix.png
Swoobat,"Psychic, Flying",Courting Pokémon,0.9 m (2′11″),10.5 kg (23.1 lbs),"1. Unaware, 2. Klutz, Simple (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),149,Medium Fast,"Field, Flying","50% male, 50% female","15 (3,599–3,855 steps)",67,244,338,57,107,234,55,103,229,77,143,278,55,103,229,114,209,359,Swoobat.png
Sylveon,Fairy,Intertwining Pokémon,1.0 m (3′03″),23.5 kg (51.8 lbs),"1. Cute Charm, Pixilate (hidden ability)",2 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),184,Medium Fast,Field,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",95,300,394,65,121,251,65,121,251,110,202,350,130,238,394,60,112,240,Sylveon.png
Tadbulb,Electric,EleTadpole Pokémon,0.3 m (1′00″),0.4 kg (0.9 lbs),"1. Own Tempo, 2. Static, Damp (hidden ability)",1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),54,Medium Fast,Water 1,"50% male, 50% female","20 (4,884–5,140 steps)",61,232,326,31,60,177,41,78,199,59,110,238,35,67,185,45,85,207,Tadbulb.png
Taillow,"Normal, Flying",TinySwallow Pokémon,0.3 m (1′00″),2.3 kg (5.1 lbs),"1. Guts, Scrappy (hidden ability)",1 Speed,"200 (26.1% with PokéBall, full HP)",50 (normal),54,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",40,190,284,55,103,229,30,58,174,30,58,174,30,58,174,85,157,295,Taillow.png
Talonflame,"Fire, Flying",Scorching Pokémon,1.2 m (3′11″),24.5 kg (54.0 lbs),"1. Flame Body, Gale Wings (hidden ability)",3 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),175,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",78,266,360,81,150,287,71,132,265,74,137,271,69,128,260,126,231,386,Talonflame.png
Tandemaus,Normal,Couple Pokémon,0.3 m (1′00″),1.8 kg (4.0 lbs),"1. Run Away, 2. Pickup, Own Tempo (hidden ability)",1 Speed,"150 (19.6% with PokéBall, full HP)",50 (normal),61,Fast,"Fairy, Field",Genderless,"10 (2,314–2,570 steps)",50,210,304,50,94,218,45,85,207,40,76,196,45,85,207,75,139,273,Tandemaus.png
Tangela,Grass,Vine Pokémon,1.0 m (3′03″),35.0 kg (77.2 lbs),"1. Chlorophyll, 2. Leaf Guard, Regenerator (hidden ability)",1 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),87,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",65,240,334,55,103,229,115,211,361,100,184,328,40,76,196,60,112,240,Tangela.png
Tangrowth,Grass,Vine Pokémon,2.0 m (6′07″),128.6 kg (283.5 lbs),"1. Chlorophyll, 2. Leaf Guard, Regenerator (hidden ability)",2 Defense,"30 (3.9% with PokéBall, full HP)",50 (normal),187,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",100,310,404,100,184,328,125,229,383,110,202,350,50,94,218,50,94,218,Tangrowth.png
Tapu Bulu,"Grass, Fairy",Land Spirit Pokémon,1.9 m (6′03″),45.5 kg (100.3 lbs),"1. Grassy Surge, Telepathy (hidden ability)",3 Attack,"3 (0.4% with PokéBall, full HP)",50 (normal),257,Slow,Undiscovered,Genderless,"15 (3,599–3,855 steps)",70,250,344,130,238,394,115,211,361,85,157,295,95,175,317,75,139,273,Tapu Bulu.png
Tapu Fini,"Water, Fairy",Land Spirit Pokémon,1.3 m (4′03″),21.2 kg (46.7 lbs),"1. Misty Surge, Telepathy (hidden ability)",3 Sp. Def,"3 (0.4% with PokéBall, full HP)",50 (normal),257,Slow,Undiscovered,Genderless,"15 (3,599–3,855 steps)",70,250,344,75,139,273,115,211,361,95,175,317,130,238,394,85,157,295,Tapu Fini.png
Tapu Koko,"Electric, Fairy",Land Spirit Pokémon,1.8 m (5′11″),20.5 kg (45.2 lbs),"1. Electric Surge, Telepathy (hidden ability)",3 Speed,"3 (0.4% with PokéBall, full HP)",50 (normal),257,Slow,Undiscovered,Genderless,"15 (3,599–3,855 steps)",70,250,344,115,211,361,85,157,295,95,175,317,75,139,273,130,238,394,Tapu Koko.png
Tapu Lele,"Psychic, Fairy",Land Spirit Pokémon,1.2 m (3′11″),18.6 kg (41.0 lbs),"1. Psychic Surge, Telepathy (hidden ability)",3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",50 (normal),257,Slow,Undiscovered,Genderless,"15 (3,599–3,855 steps)",70,250,344,85,157,295,75,139,273,130,238,394,115,211,361,95,175,317,Tapu Lele.png
Tarountula,Bug,String Ball Pokémon,0.3 m (1′00″),4.0 kg (8.8 lbs),"1. Insomnia, Stakeout (hidden ability)",1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),42,Erratic,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",35,180,274,41,78,199,45,85,207,29,56,172,40,76,196,20,40,152,Tarountula.png
Tatsugiri Curly Form,"Dragon, Water",Mimicry Pokémon,0.3 m (1′00″),8.0 kg (17.6 lbs),"1. Commander, Storm Drain (hidden ability)",2 Sp. Atk,"100 (13.1% with PokéBall, full HP)",50 (normal),166,Medium Slow,Water 2,"50% male, 50% female","35 (8,739–8,995 steps)",68,246,340,50,94,218,60,112,240,120,220,372,95,175,317,82,152,289,Tatsugiri (Curly Form).png
Tatsugiri Droopy Form,"Dragon, Water",Mimicry Pokémon,0.3 m (1′00″),8.0 kg (17.6 lbs),—,2 Sp. Atk,"100 (13.1% with PokéBall, full HP)",50 (normal),166,Medium Slow,—,"50% male, 50% female","35 (8,739–8,995 steps)",68,246,340,50,94,218,60,112,240,120,220,372,95,175,317,82,152,289,Tatsugiri (Droopy Form).png
Tatsugiri Stretchy Form,"Dragon, Water",Mimicry Pokémon,0.3 m (1′00″),8.0 kg (17.6 lbs),—,2 Sp. Atk,"100 (13.1% with PokéBall, full HP)",50 (normal),166,Medium Slow,—,"50% male, 50% female","35 (8,739–8,995 steps)",68,246,340,50,94,218,60,112,240,120,220,372,95,175,317,82,152,289,Tatsugiri (Stretchy Form).png
Tauros,Normal,Wild Bull Pokémon,1.4 m (4′07″),88.4 kg (194.9 lbs),"1. Intimidate, 2. Anger Point, Sheer Force (hidden ability)","1 Attack, 1 Speed","45 (5.9% with PokéBall, full HP)",50 (normal),172,Slow,Field,"100% male, 0% female","20 (4,884–5,140 steps)",75,260,354,100,184,328,95,175,317,40,76,196,70,130,262,110,202,350,Tauros.png
Tauros Combat Breed,Fighting,Wild Bull Pokémon,1.4 m (4′07″),115.0 kg (253.5 lbs),"1. Intimidate, 2. Anger Point, Cud Chew (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),172,Slow,Field,"100% male, 0% female","20 (4,884–5,140 steps)",75,260,354,110,202,350,105,193,339,30,58,174,70,130,262,100,184,328,Tauros (Combat Breed).png
Tauros Blaze Breed,"Fighting, Fire",Wild Bull Pokémon,1.4 m (4′07″),85.0 kg (187.4 lbs),"1. Intimidate, 2. Anger Point, Cud Chew (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),172,Slow,Field,"100% male, 0% female","20 (4,884–5,140 steps)",75,260,354,110,202,350,105,193,339,30,58,174,70,130,262,100,184,328,Tauros (Blaze Breed).png
Tauros Aqua Breed,"Fighting, Water",Wild Bull Pokémon,1.4 m (4′07″),110.0 kg (242.5 lbs),"1. Intimidate, 2. Anger Point, Cud Chew (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),172,Slow,Field,"100% male, 0% female","20 (4,884–5,140 steps)",75,260,354,110,202,350,105,193,339,30,58,174,70,130,262,100,184,328,Tauros (Aqua Breed).png
Teddiursa,Normal,Little Bear Pokémon,0.6 m (2′00″),8.8 kg (19.4 lbs),"1. Pickup, 2. Quick Feet, Honey Gather (hidden ability)",1 Attack,"120 (15.7% with PokéBall, full HP)",50 (normal),66,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,80,148,284,50,94,218,50,94,218,50,94,218,40,76,196,Teddiursa.png
Tentacool,"Water, Poison",Jellyfish Pokémon,0.9 m (2′11″),45.5 kg (100.3 lbs),"1. Clear Body, 2. Liquid Ooze, Rain Dish (hidden ability)",1 Sp. Def,"190 (24.8% with PokéBall, full HP)",50 (normal),67,Slow,Water 3,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,40,76,196,35,67,185,50,94,218,100,184,328,70,130,262,Tentacool.png
Tentacruel,"Water, Poison",Jellyfish Pokémon,1.6 m (5′03″),55.0 kg (121.3 lbs),"1. Clear Body, 2. Liquid Ooze, Rain Dish (hidden ability)",2 Sp. Def,"60 (7.8% with PokéBall, full HP)",50 (normal),180,Slow,Water 3,"50% male, 50% female","20 (4,884–5,140 steps)",80,270,364,70,130,262,65,121,251,80,148,284,120,220,372,100,184,328,Tentacruel.png
Tepig,Fire,Fire Pig Pokémon,0.5 m (1′08″),9.9 kg (21.8 lbs),"1. Blaze, Thick Fat (hidden ability)",1 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",65,240,334,63,117,247,45,85,207,45,85,207,45,85,207,45,85,207,Tepig.png
Terapagos Normal Form,Normal,Tera Pokémon,0.2 m (0′08″),6.5 kg (14.3 lbs),1. Tera Shift,1 Defense,"255 (33.3% with PokéBall, full HP)",—,—,Slow,Undiscovered,"50% male, 50% female",—,90,290,384,65,121,251,85,157,295,65,121,251,85,157,295,60,112,240,Terapagos (Normal Form).png
Terapagos Terastal Form,Normal,Tera Pokémon,0.3 m (1′00″),16.0 kg (35.3 lbs),1. Tera Shell,"2 Defense, 2 Sp. Def","255 (33.3% with PokéBall, full HP)",—,—,Slow,Undiscovered,"50% male, 50% female",—,95,300,394,95,175,317,110,202,350,105,193,339,110,202,350,85,157,295,Terapagos (Terastal Form).png
Terapagos Stellar Form,Normal,Tera Pokémon,1.7 m (5′07″),77.0 kg (169.8 lbs),1. Teraform Zero,3 HP,"255 (33.3% with PokéBall, full HP)",—,—,Slow,Undiscovered,"50% male, 50% female",—,160,430,524,105,193,339,110,202,350,130,238,394,110,202,350,85,157,295,Terapagos (Stellar Form).png
Terrakion,"Rock, Fighting",Cavern Pokémon,1.9 m (6′03″),260.0 kg (573.2 lbs),1. Justified,3 Attack,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),261,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)",91,292,386,129,236,392,90,166,306,72,134,267,90,166,306,108,198,346,Terrakion.png
Thievul,Dark,Fox Pokémon,1.2 m (3′11″),19.9 kg (43.9 lbs),"1. Run Away, 2. Unburden, Stakeout (hidden ability)",2 Sp. Def,"127 (16.6% with PokéBall, full HP)",50 (normal),159,Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",70,250,344,58,108,236,58,108,236,87,161,300,92,170,311,90,166,306,Thievul.png
Throh,Fighting,Judo Pokémon,1.3 m (4′03″),55.5 kg (122.4 lbs),"1. Guts, 2. Inner Focus, Mold Breaker (hidden ability)",2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),163,Medium Fast,Human-Like,"100% male, 0% female","20 (4,884–5,140 steps)",120,350,444,100,184,328,85,157,295,30,58,174,85,157,295,45,85,207,Throh.png
Thundurus Incarnate Forme,"Electric, Flying",Bolt Strike Pokémon,1.5 m (4′11″),61.0 kg (134.5 lbs),"1. Prankster, Defiant (hidden ability)",3 Attack,"3 (0.4% with PokéBall, full HP)",90 (higher than normal),290,Slow,Undiscovered,"100% male, 0% female","120 (30,584–30,840 steps)",79,268,362,115,211,361,70,130,262,125,229,383,80,148,284,111,204,353,Thundurus (Incarnate Forme).png
Thundurus Therian Forme,"Electric, Flying",Bolt Strike Pokémon,3.0 m (9′10″),61.0 kg (134.5 lbs),1. Volt Absorb,3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",90 (higher than normal),290,Slow,Undiscovered,"100% male, 0% female","120 (30,584–30,840 steps)",79,268,362,105,193,339,70,130,262,145,265,427,80,148,284,101,186,331,Thundurus (Therian Forme).png
Thwackey,Grass,Beat Pokémon,0.7 m (2′04″),14.0 kg (30.9 lbs),"1. Overgrow, Grassy Surge (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),147,Medium Slow,"Field, Grass","87.5% male, 12.5% female","20 (4,884–5,140 steps)",70,250,344,85,157,295,70,130,262,55,103,229,60,112,240,80,148,284,Thwackey.png
